Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,Salary,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro,YearsCodeProNew,YearsCodeProCat,.fitted,cnts
1118,I am a developer by profession,No,38,16,Yearly,128000,128000,United States,United States dollar,USD,PostgreSQL,PostgreSQL,Full-Stack Developer,Graduate,Employed full-time,White or of European descent,Woman,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;JavaScript;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL,Node.js,Node.js,Jira;Slack;Trello,Confluence;Jira;Microsoft Teams,Yes,Extremely important,Very important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,No,Rarely: 1-2 days per year or less,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"10,000 or more employees",Docker;MacOS;Microsoft Azure,Windows,I have some influence,Gay or Lesbian,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;Vue.js,Express;jQuery,Just as welcome now as I felt last year,40,22,16,16,15-19 years,0.05794831547279189,1
17965,I am a developer by profession,No,33,15,Yearly,60000,60000,United States,United States dollar,USD,NA,MySQL,Desktop or Enterprise Applications Developer,Graduate,Employed full-time,White or of European descent,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Neither satisfied nor dissatisfied,I am not interested in new job opportunities,C#;C++,C#;C++,.NET,.NET,Confluence;Jira,Confluence;Jira,No,Neutral,Somewhat important,Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",NA,Not sure,Yes,No,Never,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,NA,NA,NA,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,A lot less welcome now than last year,45,11,3,3,Less than 5 years,0.058091705950426786,1
47916,I am a developer by profession,No,23,17,Yearly,140000,140000,United States,United States dollar,USD,DynamoDB,DynamoDB,Embedded Applications or Devices Developer,Bachelor's,Employed full-time,White or of European descent,Woman,Flex time or a flexible schedule;Specific department or team I’d be working on;How widely used or impactful my work output would be,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C++;Python,Bash/Shell/PowerShell;C++;Python,Pandas,Pandas,NA,NA,No,Extremely important,Fairly important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Linux-based,"10,000 or more employees",AWS;Docker;Linux;MacOS,AWS;Docker;Linux;MacOS,I have little or no influence,Bisexual,Not sure/can't remember,"Yes, somewhat",NA,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,40,16.254754533392305,1,1,Less than 5 years,0.05809555449409372,1
53177,I am a developer by profession,Yes,34,12,Yearly,300000,300000,United States,United States dollar,USD,NA,NA,Desktop or Enterprise Applications Developer,Bachelor's,Employed full-time,White or of European descent,Man,Specific department or team I’d be working on;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Objective-C;Ruby;Swift;TypeScript,React Native;Unreal Engine,React Native,"Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Github;Slack,Yes,Neutral,Somewhat important,Trouble with leadership at my company,Personal network - friends or family;Directly asking current or past employees at the company,Once a year,No,Yes,Yes,Often: 1-2 days per week or more,NA,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,"10,000 or more employees",AWS;Linux;Microsoft Azure,AWS;iOS;MacOS;Microsoft Azure,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Gatsby;React.js;Ruby on Rails,NA,Just as welcome now as I felt last year,70,15,12,12,10-14 years,0.05820832930457109,1
60249,I am a developer by profession,Yes,37,13,Yearly,62000,62000,United States,United States dollar,USD,MySQL,MySQL,Back-End Developer,Bachelor's,Employed full-time,White or of European descent,Woman,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,NA,.NET,NA,Confluence;Jira;Github;Slack,Not sure,NA,Fairly important,Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Yes,Yes,Yes,Rarely: 1-2 days per year or less,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,MacOS,20 to 99 employees,Linux,Linux;MacOS;Windows,I have little or no influence,Straight / Heterosexual,No,Neutral,NA,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,jQuery,Just as welcome now as I felt last year,40,24,15,15,15-19 years,0.05821475973831493,1
47714,I am a developer by profession,No,38,7,Yearly,87500,87500,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL,Mobile Developer,Bachelor's,Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#;SQL,C#;HTML/CSS;JavaScript;SQL,.NET Core;Xamarin,NA,Jira;Github;Slack;Microsoft Azure,Jira;Github;Slack,Not sure,Somewhat important,Very important,Just because;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,Personal network - friends or family,Once a year,No,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,20 to 99 employees,Android;Arduino;AWS;iOS;Microsoft Azure;Raspberry Pi;Windows,Android;AWS;Raspberry Pi;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;Vue.js,ASP.NET,Somewhat less welcome now than last year,40,25,16,16,15-19 years,0.058337177587784034,1
51108,I am a developer by profession,Yes,35,18,Yearly,89250,89250,United States,United States dollar,USD,DynamoDB;PostgreSQL,DynamoDB;PostgreSQL,Full-Stack Developer,Graduate,Employed full-time,Hispanic or Latino/a/x,Woman,Remote work options;Office environment or company culture;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,Python;Scala;SQL,Python;SQL,Apache Spark;Teraform,Apache Spark,Jira;Github;Slack;Trello,Jira;Github;Slack;Microsoft Teams;Trello,Yes,Extremely important,Critically important,Curious about other opportunities;Trouble with my teammates;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,Yes,Yes,No,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform,AWS;MacOS,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,32,17,12,12,10-14 years,0.058346609519446486,1
2209,I am a developer by profession,No,58,20,Yearly,117000,117000,United States,United States dollar,USD,Elasticsearch;Firebase;Microsoft SQL Server;MySQL,Elasticsearch;Firebase;Microsoft SQL Server;MySQL,Front-End Developer,Bachelor's,Employed full-time,White or of European descent,Woman,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Very satisfied,I am not interested in new job opportunities,NA,C#;JavaScript;Python;SQL,NA,.NET,Github,Confluence;Jira;Github,No,Somewhat important,Somewhat important,Just because;Having a bad day (or week or month) at work,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,MacOS,2 to 9 employees,Google Cloud Platform;MacOS,Google Cloud Platform;MacOS;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Angular;Flask,Angular.js;ASP.NET;Flask,Just as welcome now as I felt last year,35,38,33,33,30-34 years,0.058711329971783306,1
694,I am a developer by profession,Yes,41,18,Yearly,166500,166500,United States,United States dollar,USD,NA,NA,Back-End Developer,Graduate,Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly dissatisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;Python,Bash/Shell/PowerShell;C++,NA,NA,Github;Stack Overflow for Teams,Confluence;Jira;Github;Slack,Yes,Extremely important,Critically important,Just because;Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Linux-based,100 to 499 employees,Arduino;AWS;Docker;Google Cloud Platform;Kubernetes;Linux,Docker;Linux,I have little or no influence,Bisexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat less welcome now than last year,40,22,12,12,10-14 years,0.058712439731193125,1
51071,I am a developer by profession,Yes,30,17,Yearly,109000,109000,United States,United States dollar,USD,MongoDB;PostgreSQL;Redis,IBM DB2;PostgreSQL;Redis,Full-Stack Developer,Graduate,Employed full-time,South Asian,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;JavaScript;SQL,Apache Spark;Hadoop;Node.js;React Native;TensorFlow;Teraform,NA,Github,Github,Yes,Neutral,Critically important,Having a bad day (or week or month) at work;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,Yes,Onboarding? What onboarding?,Yes,Often: 1-2 days per week or more,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Windows,"10,000 or more employees",Android;AWS;Docker;Kubernetes;Linux,IBM Cloud or Watson;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Spring,Angular;Spring,Just as welcome now as I felt last year,40,15,10,10,10-14 years,0.05871478481313303,1
2431,I am a developer by profession,Yes,23,12,Yearly,88620,88620,United States,United States dollar,USD,PostgreSQL,PostgreSQL,Full-Stack Developer,Less than Bachelor's Degree,Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Remote work options;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Java,Java;JavaScript,Ansible;Unity 3D,Ansible;Node.js;Unity 3D,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,No,Rarely: 1-2 days per year or less,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later,Linux-based,"1,000 to 4,999 employees",Linux,Docker;Kubernetes;Linux;MacOS,I have little or no influence,Gay or Lesbian,Yes,"No, not really",Less than once per month or monthly,Less than once per month or monthly,Easy,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",NA,Angular;jQuery;Laravel,Somewhat less welcome now than last year,40,11,9,9,5-9 years,0.058720198175320426,1
1990,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,39,7,Yearly,136000,136000,United States,United States dollar,USD,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Full-Stack Developer,Bachelor's,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;JavaScript;Kotlin;Rust;TypeScript,Bash/Shell/PowerShell;C#;JavaScript;Python;TypeScript;VBA,.NET;.NET Core;Ansible;Chef;React Native;Teraform;Unity 3D;Xamarin,.NET;.NET Core;Ansible;Xamarin,Confluence;Jira;Github;Microsoft Teams;Microsoft Azure,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure,No,Somewhat important,Somewhat important,Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,Yes,No,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"10,000 or more employees",Android;Docker;Heroku;iOS;Kubernetes;Microsoft Azure;Raspberry Pi;Windows,Docker;Heroku;Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",Angular.js;ASP.NET Core;React.js;Vue.js,ASP.NET;ASP.NET Core;Express;jQuery,Just as welcome now as I felt last year,42,20,14,14,10-14 years,0.05882518106801104,1
51028,I am a developer by profession,Yes,42,15,Yearly,82000,82000,United States,United States dollar,USD,MongoDB,Microsoft SQL Server;MongoDB,Back-End Developer,Bachelor's,Employed full-time,White or of European descent,Woman,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Java;JavaScript,Java;JavaScript;SQL,Node.js,Node.js,Jira,"Confluence;Jira;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Curious about other opportunities;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Not sure,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"10,000 or more employees",Linux;Windows,Linux;Windows,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Spring,jQuery;React.js;Spring,Just as welcome now as I felt last year,40,26,21,21,20-24 years,0.05883023141997695,1
40453,I am a developer by profession,Yes,40,6,Yearly,150000,150000,United States,United States dollar,USD,PostgreSQL;SQLite,Couchbase;DynamoDB;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Full-Stack Developer,Bachelor's,Employed full-time,White or of European descent,Man,Financial performance or funding status of the company or organization;Opportunities for professional development;Family friendliness,Very satisfied,I am not interested in new job opportunities,Rust,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,NA,Ansible;Node.js,Github,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Critically important,Having a bad day (or week or month) at work;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,2 to 9 employees,Android;Arduino;Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,Arduino;AWS;Docker;Linux;MacOS;Slack Apps and Integrations;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,Mathematics or statistics,NA,Angular;Express;Laravel;Ruby on Rails;Vue.js,Just as welcome now as I felt last year,40,35,4,4,Less than 5 years,0.05884716154402067,1
2988,I am a developer by profession,No,40,18,Yearly,145000,145000,United States,United States dollar,USD,NA,Microsoft SQL Server;Oracle,Back-End Developer,Bachelor's,Employed full-time,South Asian,Woman,Diversity of the company or organization;Flex time or a flexible schedule;Opportunities for professional development,Slightly satisfied,I am not interested in new job opportunities,Go;Java;JavaScript;Kotlin;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,Flutter;React Native,NA,Github;Gitlab;Slack;Trello,Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,No,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Not sure,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"1,000 to 4,999 employees",Android;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations,Android;Docker;Linux;MacOS;Slack Apps and Integrations;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;React.js;Spring;Vue.js,Angular;Angular.js;jQuery;React.js;Spring,Just as welcome now as I felt last year,40,22,18,18,15-19 years,0.058850149544735386,1
53378,I am a developer by profession,Yes,31,19,Yearly,157000,157000,United States,United States dollar,USD,Elasticsearch;PostgreSQL;Redis;SQLite,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Data Engineer,Less than Bachelor's Degree,Employed full-time,White or of European descent,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;Rust;SQL,Ansible;Pandas;React Native;TensorFlow;Teraform,Ansible;Node.js;Pandas;React Native;Teraform,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have emailed me,Annoyed,Stack Overflow (public Q&A for anyone who codes),Go for a walk or other physical activity;Do other work and come back later,Linux-based,500 to 999 employees,Docker;Kubernetes;Linux;Raspberry Pi,Android;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;WordPress,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"A business discipline (such as accounting, finance, marketing, etc.)",Django;React.js;Vue.js,Django;Flask;jQuery;React.js;Vue.js,Somewhat less welcome now than last year,NA,12,7,7,5-9 years,0.059102953396987026,1
30246,I am a developer by profession,Yes,30,10,Yearly,85000,85000,United States,United States dollar,USD,MongoDB;MySQL,MySQL;Oracle,"Developer, QA or test",Bachelor's,Employed full-time,White or of European descent,Woman,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL,Node.js;React Native;Unity 3D;Unreal Engine,NA,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,Onboarding? What onboarding?,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,"1,000 to 4,999 employees",AWS;iOS;Raspberry Pi,Android;iOS,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Gatsby;React.js;Vue.js,Angular.js;Drupal;React.js,Just as welcome now as I felt last year,35,20,5,5,5-9 years,0.05910447866517755,1
52359,I am a developer by profession,No,38,18,Yearly,150000,150000,United States,United States dollar,USD,NA,Firebase;MySQL;PostgreSQL;SQLite,Embedded Applications or Devices Developer,Bachelor's,Employed full-time,White or of European descent,Woman,Industry that I’d be working in;Flex time or a flexible schedule;Remote work options,Very dissatisfied,I am not interested in new job opportunities,NA,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,NA,React Native,NA,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Neutral,Very important,Better work/life balance,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,Not sure,No,Yes,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,2 to 9 employees,NA,Android;Docker;Linux,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,A lot more welcome now than last year,40,20,16,16,15-19 years,0.060219640972545695,1
